question,option1,option2,option3,option4,answer
"Mang trên mình sứ mệnh Người Khai Mở, một trong những mục tiêu Sun Group kiên định là tìm đến những vùng đất giàu tiềm năng nhưng chưa được khai thác đúng tầm, làm thay đổi những vùng đất ấy, kiến tạo và đóng góp cho xã hội những công trình, sản phẩm/dịch vụ thế nào?",Đẳng cấp chất lượng vượt trội và trường tồn theo thời gian.,Ghi dấu ấn vượt thời gian.,Chất lượng vượt trội.,"Đẳng cấp, chất lượng, khác biệt.",1
"Trong nội dung Đối với tập thể Người Sun Group, Người Sun Group xác định điều gì để theo đó, mỗi cá nhân phấn đấu học hỏi và nâng cấp bản thân, phấn đấu trở thành Đại sứ Văn hóa Sun Group, khẳng định tình yêu với Tập đoàn và niềm tự hào khi là thành viên của tập thể Sun Group, tập thể với lý tưởng cao đẹp đang góp phần xây dựng hình ảnh Người Việt Nam mới trong lao động, đóng góp cho sự phát triển của đất nước?",Phấn đấu trở thành “Hiền tài” thay vì “Người tài”.,Sun Group không giữ người bằng tiền và không đón nhận những người đến với Tập đoàn chỉ vì tiền.,"Không có công việc tầm thường, chỉ có con người tầm thường.",Sun Group là tập thể của những người con yêu nước.,4
"“Văn hóa Sun Group đã, đang và sẽ tiếp tục được bổ sung các tiêu chí văn hóa hiện đại, nhằm đảm bảo sự hội nhập của Sun Group cũng như Người Sun Group với môi trường phát triển năng động, văn minh và hiện đại của thế giới.” Đây là nội dung của yếu tố văn hóa nào của Sun Group?",Hội nhập,Lan tỏa,Kế thừa,Bản sắc,1
"Hiền tài của Sun Group là những người hiểu được trách nhiệm và sự đóng góp của bản thân đối với sự thành công và lớn mạnh của Sun Group. Do đó, họ chủ động học hỏi, nỗ lực hoàn thiện bản thân và luôn xem sự trưởng thành liên tục của bản thân là yếu tố nền tảng và thước đo cho sự bền vững của tập thể, của Sun Group, của cộng đồng và của đất nước Việt Nam. Đây là nội dung nào trong Triết lý về Người Sun Group?",Nhiệt tâm,Hiền,Tài,Làm gương và lan tỏa,3
Nội dung nào sau đây thể hiện Ý thức vì cộng đồng của Người Sun Group trong thời kì mới?,"Tìm hiểu, lựa chọn thưởng thức nhằm nâng cao khả năng cảm thụ về các loại hình nghệ thuật.","Tư duy phát triển bền vững, hội nhập quốc tế, gìn giữ tài nguyên, môi trường sống.","Có khả năng lan tỏa, truyền cảm hứng và gắn kết sức mạnh của đội ngũ.","Có tinh thần yêu nước, tự hào chia sẻ và hành động để gìn giữ những truyền thống của dân tộc Việt Nam.",2
Yêu cầu về Phẩm chất (Nhân cách - Đạo đức) của Người Sun Group trong thời kì mới bao gồm những yếu tố nào?,Yêu nước - Khiêm nhường - Tư duy hội nhập - Lối sống lành mạnh,Yêu nước - Lý tưởng - Khiêm nhường - Nhân cách tốt,Lý tưởng - Nhân cách tốt - Năng suất lao động - Thể chất khỏe mạnh,Đạo đức tốt - Nhân cách tốt - Yêu nước - Ý thức vì cộng đồng,2
"Nội dung sau đây thể hiện giá trị cốt lõi nào đối với Người Sun Group: ""Sẵn sàng tự phê và phê những khuyết điểm của bản thân và người khác một cách trực diện để cùng trưởng thành""?",Trình độ chuyên môn cao.,Không thể hiện giá trị cốt lõi nào đối với Người Sun Group.,Trung thành và trung thực.,Nhiệt tâm.,1
"Mang trên mình sứ mệnh Người Khai Mở, một trong những mục tiêu Sun Group kiên định là ""Góp phần nâng cao vị thế đất nước, nâng cao ..., làm đẹp, làm giàu cho Tổ Quốc và đưa Việt Nam trở thành điểm đến hấp dẫn của thế giới."". Từ còn thiếu trong dấu ba chấm là gì?",Vị thế của người Việt Nam,Chất lượng sống của người dân,Trí tuệ người Việt Nam,Sức khỏe người Việt Nam,2
"Người Sun Group không tự mãn với những thành công đã đạt được mà luôn khao khát phá vỡ những kỷ lục của chính mình, luôn đảm bảo chất lượng, đẳng cấp, khác biệt và tính nhân văn trong mọi việc, công trình sau tốt hơn công trình trước; Đây là nội dung thể hiện yếu tố nào trong Triết lý xây dựng và phát triển văn hóa của Sun Group?",Bản sắc,Kế thừa,Lan tỏa,Hội nhập,1
Triết lý nào sau đây nằm trong Triết lý về Người Sun Group?,"Sun Group xây dựng môi trường làm việc áp lực, đòi hỏi cao để giúp CBNV nâng cao năng lực của mình.","Sun Group sẽ chỉ chú trọng tập hợp về mình những ""Người tài"".",Sun Group sẵn sàng đón nhận những người đến với Tập đoàn chỉ vì tiền và giữ người bằng tiền.,"Sun Group sẽ tập hợp về mình những ""Hiền tài"" thay vì ""Người tài"".",4
Chất lượng - Đẳng cấp - Khác biệt thể hiện nội dung gì trong Tư tưởng - Văn hóa Sun Group?,Giá trị cốt lõi đối với Tập đoàn Sun Group.,Sứ mệnh Sun Group.,Tầm nhìn Sun Group.,Lý tưởng Sun Group.,1
Yêu cầu về Sức khỏe (Thể chất – Tinh thần) của Người Sun Group trong thời kì mới bao gồm những yếu tố nào?,Thể chất khỏe mạnh - Tinh thần khỏe mạnh - Lối sống lành mạnh.,Sức khỏe tốt - Tinh thần tốt - Lối sống tốt.,Thể chất khỏe mạnh - Tinh thần khỏe mạnh - Năng suất lao động cao.,Ý thức tốt - Nhân cách tốt - Tinh thần tốt.,1
"Với yêu cầu về Người Sun Group trong thời kỳ mới, Người Sun Group hướng tới có năng suất lao động như thế nào?",Một người làm việc bằng hai so với hiện tại.,"Có năng suất lao động ngang với Nhật Bản, Hàn Quốc.","Có năng suất lao động cao, ngang bằng nước tiên tiến nhất trong khu vực Đông Nam Á.",Đa năng đa nhiệm.,3
Nội dung nào sau đây thể hiện Lý tưởng Sun Group?,Lý tưởng của Sun Group là trở thành một trong những Tập đoàn kinh tế tư nhân Việt Nam có quy mô và đẳng cấp quốc tế.,"Lý tưởng của Sun Group là tìm đến những vùng đất giàu tiềm năng nhưng chưa được khai thác đúng tầm, làm thay đổi những vùng đất ấy, kiến tạo và đóng góp cho xã hội những công trình, sản phẩm/dịch vụ có đẳng cấp chất lượng vượt trội, trường tồn theo thời gian.","Lý tưởng của Sun Group là góp phần nâng cao vị thế đất nước, nâng cao chất lượng sống của người dân, làm đẹp, làm giàu cho Tổ Quốc, đưa Việt Nam trở thành điểm đến hấp dẫn của thế giới.","Lý tưởng của Sun Group là cùng chung một con thuyền, cùng người cầm lái đưa Sun Group tới những bến bờ vinh quang bằng những công trình ghi dấu ấn vượt thời gian.",4
"Mang trên mình sứ mệnh Người Khai Mở, một trong những mục tiêu Sun Group kiên định là góp phần xây dựng người Việt Nam mới với những đặc điểm gì?","Văn minh, chuyên nghiệp, nhân văn","Trung thành, trung thực, nhiệt tâm","Yêu nước, kỷ luật, giỏi chuyên môn","Phẩm chất, năng lực và sức khỏe bắt kịp thời cuộc",4
"Nội dung sau đây thể hiện giá trị cốt lõi nào đối với Tập đoàn Sun Group: ""Phát triển hướng tới những thế hệ mai sau, nuôi dưỡng và gìn giữ môi trường sống ổn định, xanh, sạch và văn minh""?",Đẳng cấp,Không thể hiện giá trị cốt lõi nào đối với Tập đoàn,Chất lượng,Khác biệt,3
"Nội dung sau đây thể hiện giá trị cốt lõi nào đối với Người Sun Group: ""Tuân thủ mọi chuẩn mực của Tập đoàn và hoàn thành mọi nhiệm vụ được giao đúng chất lượng và tiến độ cam kết.""?",Trình độ chuyên môn cao.,Nhiệt tâm.,Không thể hiện giá trị cốt lõi nào đối với Người Sun Group.,Trung thành và trung thực.,4
"Trong nội dung Đối với tập thể Người Sun Group có nêu rõ Người Sun Group dù đang ở bất cứ vị trí nào, thực hiện bất cứ công việc nào cũng sẽ luôn nỗ lực hết mình để hoàn thành xuất sắc vai trò, nhiệm vụ của mình. Bởi lẽ, Người Sun Group luôn cho rằng “…..........”; thành công chung của Tập đoàn được đóng góp từ tất cả các cá nhân ở mọi vị trí."" Câu còn thiếu trong dấu ba chấm là gì?",Hạnh phúc của Người Sun Group là trên những chặng đường cống hiến chứ không chỉ là đích đến.,Sun Group là tập thể của những người con yêu nước.,Thành công của đồng nghiệp cũng là thành công của bản thân mình và là thành công chung của cả Tập đoàn.,"Không có công việc tầm thường, chỉ có con người tầm thường.",4
